target,composition,batch_size,batch_texts,embedding_cosine_vs_single,top1_category,top1_score,top2_category,top2_score,score_gap,accepted,top1_changed,top2_changed,threshold_changed,only_numerical_values_changed
IMMULANT PLUS 20 CAP,pair_filler,2,"[""IMMULANT PLUS 20 CAP"", ""Taxi Ride""]",0.997361958026886,Medicine,0.8048666715621948,Household,0.7989842891693115,0.005882382392883301,False,False,False,False,True
IMMULANT PLUS 20 CAP,four_targets,4,"[""IMMULANT PLUS 20 CAP"", ""Folic Acid 600 MCG"", ""Panadol Extra"", ""Dettol Floor Cleaner""]",0.9974077343940735,Medicine,0.8058784008026123,Household,0.8020436763763428,0.0038347244262695312,False,False,False,False,True
IMMULANT PLUS 20 CAP,four_fillers,4,"[""IMMULANT PLUS 20 CAP"", ""Taxi Ride"", ""Laundry Detergent"", ""Cinema Ticket""]",0.996957540512085,Medicine,0.808294951915741,Household,0.8014767169952393,0.006818234920501709,False,False,False,False,True
IMMULANT PLUS 20 CAP,nine_targets,9,"[""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner"", ""Chicken Breast"", ""طماطم"", ""شامبو دوف"", ""Atomic Habits"", ""Clean Code""]",0.9969944953918457,Medicine,0.8062534332275391,Household,0.8029297590255737,0.003323674201965332,False,False,False,False,True
IMMULANT PLUS 20 CAP,nine_fillers,9,"[""IMMULANT PLUS 20 CAP"", ""Taxi Ride"", ""Laundry Detergent"", ""Cinema Ticket"", ""Electricity Bill"", ""Orange Juice"", ""Notebook A5"", ""Sparkling Water 1L"", ""USB-C Cable""]",0.9971190094947815,Medicine,0.8031566739082336,Household,0.7977478504180908,0.005408823490142822,False,False,False,False,True
Dettol Floor Cleaner,single,1,"[""Dettol Floor Cleaner""]",1.0000001192092896,Household,0.8369646668434143,Personal Care,0.8120003938674927,0.02496427297592163,True,False,False,False,False
Dettol Floor Cleaner,pair_target,2,"[""Dettol Floor Cleaner"", ""Folic Acid 600 MCG""]",0.9974712133407593,Household,0.8398617506027222,Personal Care,0.8165419697761536,0.023319780826568604,True,False,False,False,True
Dettol Floor Cleaner,pair_filler,2,"[""Dettol Floor Cleaner"", ""Laundry Detergent""]",0.9980307221412659,Household,0.8361415863037109,Personal Care,0.8124045729637146,0.023737013339996338,True,False,False,False,True
Dettol Floor Cleaner,four_targets,4,"[""Dettol Floor Cleaner"", ""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP""]",0.997680127620697,Household,0.8379637002944946,Personal Care,0.8144688606262207,0.023494839668273926,True,False,False,False,True
Dettol Floor Cleaner,four_fillers,4,"[""Dettol Floor Cleaner"", ""Laundry Detergent"", ""Cinema Ticket"", ""Electricity Bill""]",0.9981027841567993,Household,0.8362477421760559,Personal Care,0.8137447834014893,0.02250295877456665,True,False,False,False,True
Dettol Floor Cleaner,nine_targets,9,"[""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner"", ""Chicken Breast"", ""طماطم"", ""شامبو دوف"", ""Atomic Habits"", ""Clean Code""]",0.9975028038024902,Household,0.8386268615722656,Personal Care,0.8112162351608276,0.02741062641143799,True,False,False,False,True
Dettol Floor Cleaner,nine_fillers,9,"[""Dettol Floor Cleaner"", ""Laundry Detergent"", ""Cinema Ticket"", ""Electricity Bill"", ""Orange Juice"", ""Notebook A5"", ""Sparkling Water 1L"", ""USB-C Cable"", ""Taxi Ride""]",0.9977346658706665,Household,0.8378187417984009,Personal Care,0.8135584592819214,0.024260282516479492,True,False,False,False,True
Chicken Breast,single,1,"[""Chicken Breast""]",1.0,Groceries,0.7954787015914917,Fruits & Vegetables,0.7844419479370117,0.01103675365447998,True,False,False,False,False
Chicken Breast,pair_target,2,"[""Chicken Breast"", ""Folic Acid 600 MCG""]",0.9945775270462036,Groceries,0.796654999256134,Fruits & Vegetables,0.7844940423965454,0.012160956859588623,True,False,False,False,True
Chicken Breast,pair_filler,2,"[""Chicken Breast"", ""Cinema Ticket""]",0.9966384172439575,Groceries,0.7989046573638916,Fruits & Vegetables,0.7892857789993286,0.009618878364562988,False,False,False,True,False
Chicken Breast,four_targets,4,"[""Chicken Breast"", ""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP""]",0.9961703419685364,Groceries,0.7932615280151367,Fruits & Vegetables,0.7820786237716675,0.011182904243469238,True,False,False,False,True
Chicken Breast,four_fillers,4,"[""Chicken Breast"", ""Cinema Ticket"", ""Electricity Bill"", ""Orange Juice""]",0.9964824914932251,Groceries,0.802069902420044,Fruits & Vegetables,0.7919201850891113,0.010149717330932617,True,False,False,False,True
Chicken Breast,nine_targets,9,"[""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner"", ""Chicken Breast"", ""طماطم"", ""شامبو دوف"", ""Atomic Habits"", ""Clean Code""]",0.9951450228691101,Groceries,0.7983112335205078,Fruits & Vegetables,0.7864204049110413,0.011890828609466553,True,False,False,False,True
Chicken Breast,nine_fillers,9,"[""Chicken Breast"", ""Cinema Ticket"", ""Electricity Bill"", ""Orange Juice"", ""Notebook A5"", ""Sparkling Water 1L"", ""USB-C Cable"", ""Taxi Ride"", ""Laundry Detergent""]",0.9954835176467896,Groceries,0.7964673042297363,Fruits & Vegetables,0.7850563526153564,0.011410951614379883,True,False,False,False,True
طماطم,single,1,"[""طماطم""]",1.0,Fruits & Vegetables,0.8537155389785767,Transport,0.8102777004241943,0.043437838554382324,True,False,False,False,False
طماطم,pair_target,2,"[""طماطم"", ""Folic Acid 600 MCG""]",0.9966870546340942,Fruits & Vegetables,0.857449471950531,Groceries,0.8097401261329651,0.04770934581756592,True,False,True,False,False
طماطم,pair_filler,2,"[""طماطم"", ""Electricity Bill""]",0.9974735379219055,Fruits & Vegetables,0.8570780754089355,Transport,0.8094682693481445,0.047609806060791016,True,False,False,False,True
طماطم,four_targets,4,"[""طماطم"", ""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP""]",0.9974904656410217,Fruits & Vegetables,0.8584407567977905,Transport,0.811989963054657,0.046450793743133545,True,False,False,False,True
طماطم,four_fillers,4,"[""طماطم"", ""Electricity Bill"", ""Orange Juice"", ""Notebook A5""]",0.9974477887153625,Fruits & Vegetables,0.8542922735214233,Transport,0.8085548281669617,0.04573744535446167,True,False,False,False,True
طماطم,nine_targets,9,"[""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner"", ""Chicken Breast"", ""طماطم"", ""شامبو دوف"", ""Atomic Habits"", ""Clean Code""]",0.9965578317642212,Fruits & Vegetables,0.8592877388000488,Transport,0.8139611482620239,0.0453265905380249,True,False,False,False,True
طماطم,nine_fillers,9,"[""طماطم"", ""Electricity Bill"", ""Orange Juice"", ""Notebook A5"", ""Sparkling Water 1L"", ""USB-C Cable"", ""Taxi Ride"", ""Laundry Detergent"", ""Cinema Ticket""]",0.9954298138618469,Fruits & Vegetables,0.8639724254608154,Groceries,0.8189668655395508,0.04500555992126465,True,False,True,False,False
شامبو دوف,single,1,"[""شامبو دوف""]",1.0,Personal Care,0.8394415974617004,Household,0.8105522990226746,0.02888929843902588,True,False,False,False,False
شامبو دوف,pair_target,2,"[""شامبو دوف"", ""Folic Acid 600 MCG""]",0.9965803623199463,Personal Care,0.8463265299797058,Household,0.8117793202400208,0.03454720973968506,True,False,False,False,True
شامبو دوف,pair_filler,2,"[""شامبو دوف"", ""Orange Juice""]",0.997802734375,Personal Care,0.8479447364807129,Household,0.8161904215812683,0.03175431489944458,True,False,False,False,True
شامبو دوف,four_targets,4,"[""شامبو دوف"", ""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP""]",0.997677206993103,Personal Care,0.8386307954788208,Household,0.8057589530944824,0.03287184238433838,True,False,False,False,True
شامبو دوف,four_fillers,4,"[""شامبو دوف"", ""Orange Juice"", ""Notebook A5"", ""Sparkling Water 1L""]",0.9976718425750732,Personal Care,0.8430557250976562,Household,0.8104128837585449,0.03264284133911133,True,False,False,False,True
شامبو دوف,nine_targets,9,"[""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner"", ""Chicken Breast"", ""طماطم"", ""شامبو دوف"", ""Atomic Habits"", ""Clean Code""]",0.9973546862602234,Personal Care,0.8421401381492615,Household,0.8090146780014038,0.033125460147857666,True,False,False,False,True
شامبو دوف,nine_fillers,9,"[""شامبو دوف"", ""Orange Juice"", ""Notebook A5"", ""Sparkling Water 1L"", ""USB-C Cable"", ""Taxi Ride"", ""Laundry Detergent"", ""Cinema Ticket"", ""Electricity Bill""]",0.9976183772087097,Personal Care,0.8466593623161316,Household,0.8125190138816833,0.03414034843444824,True,False,False,False,True
Atomic Habits,single,1,"[""Atomic Habits""]",1.0000001192092896,Entertainment,0.8251575827598572,Restaurants,0.8215436935424805,0.003613889217376709,False,False,False,False,False
Atomic Habits,pair_target,2,"[""Atomic Habits"", ""Folic Acid 600 MCG""]",0.9967590570449829,Entertainment,0.8258190155029297,Transport,0.8200637102127075,0.005755305290222168,False,False,True,False,False
Atomic Habits,pair_filler,2,"[""Atomic Habits"", ""Notebook A5""]",0.9968641400337219,Entertainment,0.8251837491989136,Restaurants,0.8214273452758789,0.003756403923034668,False,False,False,False,True
Atomic Habits,four_targets,4,"[""Atomic Habits"", ""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP""]",0.9957285523414612,Entertainment,0.8232022523880005,Restaurants,0.8182933330535889,0.004908919334411621,False,False,False,False,True
Atomic Habits,four_fillers,4,"[""Atomic Habits"", ""Notebook A5"", ""Sparkling Water 1L"", ""USB-C Cable""]",0.9959034323692322,Entertainment,0.825476884841919,Transport,0.8177382946014404,0.007738590240478516,False,False,True,False,False
Atomic Habits,nine_targets,9,"[""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner"", ""Chicken Breast"", ""طماطم"", ""شامبو دوف"", ""Atomic Habits"", ""Clean Code""]",0.9960911273956299,Entertainment,0.8239094018936157,Restaurants,0.8185389637947083,0.005370438098907471,False,False,False,False,True
Atomic Habits,nine_fillers,9,"[""Atomic Habits"", ""Notebook A5"", ""Sparkling Water 1L"", ""USB-C Cable"", ""Taxi Ride"", ""Laundry Detergent"", ""Cinema Ticket"", ""Electricity Bill"", ""Orange Juice""]",0.9969971179962158,Entertainment,0.8255001902580261,Restaurants,0.8207715749740601,0.0047286152839660645,False,False,False,False,True
Clean Code,single,1,"[""Clean Code""]",1.0000001192092896,Personal Care,0.8017522692680359,Household,0.7989054918289185,0.0028467774391174316,False,False,False,False,False
Clean Code,pair_target,2,"[""Clean Code"", ""Folic Acid 600 MCG""]",0.9972754716873169,Personal Care,0.8040199279785156,Household,0.8022941946983337,0.0017257332801818848,False,False,False,False,True
Clean Code,pair_filler,2,"[""Clean Code"", ""Sparkling Water 1L""]",0.9975016117095947,Household,0.802182674407959,Personal Care,0.8015995621681213,0.0005831122398376465,False,True,True,False,False
Clean Code,four_targets,4,"[""Clean Code"", ""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP""]",0.9974256157875061,Personal Care,0.8062459230422974,Household,0.8045281171798706,0.0017178058624267578,False,False,False,False,True
Clean Code,four_fillers,4,"[""Clean Code"", ""Sparkling Water 1L"", ""USB-C Cable"", ""Taxi Ride""]",0.9966784715652466,Personal Care,0.8088651895523071,Household,0.8084208369255066,0.0004443526268005371,False,False,False,False,True
Clean Code,nine_targets,9,"[""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner"", ""Chicken Breast"", ""طماطم"", ""شامبو دوف"", ""Atomic Habits"", ""Clean Code""]",0.9972748756408691,Personal Care,0.8024172782897949,Bills,0.8013641834259033,0.0010530948638916016,False,False,True,False,False
Clean Code,nine_fillers,9,"[""Clean Code"", ""Sparkling Water 1L"", ""USB-C Cable"", ""Taxi Ride"", ""Laundry Detergent"", ""Cinema Ticket"", ""Electricity Bill"", ""Orange Juice"", ""Notebook A5""]",0.9966527819633484,Household,0.8021548390388489,Personal Care,0.8014096617698669,0.0007451772689819336,False,True,True,False,False
